timestart,timeend,confidence,target
2018-01-09 08:00:00.000,2018-01-09 16:01:59.979,1.0,-1
2018-01-09 16:02:00.000,2018-01-09 16:02:04.980,0.37766775488853455,3
2018-01-09 16:02:05.000,2018-01-09 16:02:14.979,0.3407568633556366,6
2018-01-09 16:02:15.000,2018-01-09 16:03:24.979,1.0,-1
2018-01-09 16:03:25.000,2018-01-09 16:03:29.979,0.6912257075309753,7
2018-01-09 16:03:30.000,2018-01-09 16:04:04.980,1.0,-1
2018-01-09 16:04:05.000,2018-01-09 16:04:09.979,0.7475783824920654,7
2018-01-09 16:04:10.000,2018-01-09 16:04:14.979,1.0,-1
2018-01-09 16:04:15.000,2018-01-09 16:04:24.979,0.7493693232536316,7
2018-01-09 16:04:25.000,2018-01-09 16:04:49.979,1.0,-1
2018-01-09 16:04:50.000,2018-01-09 16:05:14.979,0.7518591284751892,7
2018-01-09 16:05:15.000,2018-01-09 16:05:24.979,0.6400797069072723,8
2018-01-09 16:05:25.000,2018-01-09 16:05:34.979,0.7500925660133362,7
2018-01-09 16:05:35.000,2018-01-09 16:05:39.979,0.6651008725166321,8
2018-01-09 16:05:40.000,2018-01-09 16:06:29.979,0.6432459115982055,7
2018-01-09 16:06:30.000,2018-01-09 16:06:34.979,0.2107364684343338,3
2018-01-09 16:06:35.000,2018-01-09 16:08:19.979,0.3907670903773535,6
2018-01-09 16:08:20.000,2018-01-09 16:08:34.979,0.5473984678586324,1
2018-01-09 16:08:35.000,2018-01-09 16:08:39.979,0.4034036695957184,6
2018-01-09 16:08:40.000,2018-01-09 16:14:39.979,0.7224345232049624,7
2018-01-09 16:14:40.000,2018-01-09 16:14:44.979,0.3743803203105927,1
2018-01-09 16:14:45.000,2018-01-09 16:14:49.979,0.42748019099235535,5
2018-01-09 16:14:50.000,2018-01-09 16:14:54.979,0.5238945484161377,1
2018-01-09 16:14:55.000,2018-01-09 16:15:04.980,0.3521193265914917,6
2018-01-09 16:15:05.000,2018-01-09 16:15:09.979,0.42036718130111694,1
2018-01-09 16:15:10.000,2018-01-09 16:15:14.979,0.16531343758106232,3
2018-01-09 16:15:15.000,2018-01-09 16:23:54.979,0.6476510253090125,7
2018-01-09 16:23:55.000,2018-01-09 16:23:59.979,0.29390302300453186,3
2018-01-09 16:24:00.000,2018-01-09 16:24:44.979,0.3708988494343228,6
2018-01-09 16:24:45.000,2018-01-09 16:24:54.979,0.3918710649013519,1
2018-01-09 16:24:55.000,2018-01-09 16:25:09.979,0.3717141449451447,6
2018-01-09 16:25:10.000,2018-01-09 16:25:14.979,0.4248447120189667,1
2018-01-09 16:25:15.000,2018-01-09 16:25:24.979,0.427615225315094,5
2018-01-09 16:25:25.000,2018-01-09 16:25:29.979,0.5447421669960022,1
2018-01-09 16:25:30.000,2018-01-09 16:26:34.979,0.4125626155963311,5
2018-01-09 16:26:35.000,2018-01-09 16:26:39.979,0.4071133136749268,1
2018-01-09 16:26:40.000,2018-01-09 16:26:59.979,0.4331072419881821,5
2018-01-09 16:27:00.000,2018-01-09 16:27:09.979,0.4725064933300018,1
2018-01-09 16:27:10.000,2018-01-09 16:27:14.979,0.44299161434173584,6
2018-01-09 16:27:15.000,2018-01-09 16:34:59.979,0.6087741521737908,7
2018-01-09 16:35:00.000,2018-01-09 16:35:04.980,0.38221120834350586,8
2018-01-09 16:35:05.000,2018-01-09 16:38:49.979,0.5855222291416592,7
2018-01-09 16:38:50.000,2018-01-09 16:38:54.979,0.6872816681861877,8
2018-01-09 16:38:55.000,2018-01-09 16:40:44.979,0.5639217495918274,7
2018-01-09 16:40:45.000,2018-01-09 16:41:19.979,0.4142922801630838,6
2018-01-09 16:41:20.000,2018-01-09 16:41:24.979,0.314190536737442,3
2018-01-09 16:41:25.000,2018-01-09 16:41:29.979,0.3728271126747131,6
2018-01-09 16:41:30.000,2018-01-09 16:41:39.979,0.4132597744464874,1
2018-01-09 16:41:40.000,2018-01-09 16:41:44.979,0.395367294549942,5
2018-01-09 16:41:45.000,2018-01-09 16:41:54.979,0.3865029960870743,1
2018-01-09 16:41:55.000,2018-01-09 16:41:59.979,0.6184971928596497,6
2018-01-09 16:42:00.000,2018-01-09 16:42:09.979,0.4705853909254074,1
2018-01-09 16:42:10.000,2018-01-09 16:42:19.979,0.3551734983921051,6
2018-01-09 16:42:20.000,2018-01-09 16:42:24.979,0.3133314847946167,3
2018-01-09 16:42:25.000,2018-01-09 16:42:34.979,0.3195708394050598,6
2018-01-09 16:42:35.000,2018-01-09 16:42:39.979,0.5478911399841309,1
2018-01-09 16:42:40.000,2018-01-09 16:43:59.979,0.3605571109801531,6
2018-01-09 16:44:00.000,2018-01-09 16:44:04.980,0.5417540073394775,1
2018-01-09 16:44:05.000,2018-01-09 16:44:14.979,0.4075823128223419,5
2018-01-09 16:44:15.000,2018-01-09 16:44:24.979,0.3390936106443405,3
2018-01-09 16:44:25.000,2018-01-09 16:45:09.979,0.3614724675814311,6
2018-01-09 16:45:10.000,2018-01-09 16:45:14.979,0.4279948472976685,1
2018-01-09 16:45:15.000,2018-01-09 16:45:19.979,0.30956020951271057,3
2018-01-09 16:45:20.000,2018-01-09 16:45:24.979,0.3516487777233124,6
2018-01-09 16:45:25.000,2018-01-09 16:45:29.979,0.41336655616760254,5
2018-01-09 16:45:30.000,2018-01-09 16:45:34.979,0.4217655062675476,6
2018-01-09 16:45:35.000,2018-01-09 16:45:39.979,0.443400502204895,5
2018-01-09 16:45:40.000,2018-01-09 16:45:54.979,0.3327204088370005,6
2018-01-09 16:45:55.000,2018-01-09 16:46:04.980,0.3721702396869659,5
2018-01-09 16:46:05.000,2018-01-09 16:46:09.979,0.5174373984336853,1
2018-01-09 16:46:10.000,2018-01-09 16:46:14.979,0.3319981694221497,3
2018-01-09 16:46:15.000,2018-01-09 16:46:19.979,0.32714352011680603,6
2018-01-09 16:46:20.000,2018-01-09 16:46:29.979,0.5543430745601654,1
2018-01-09 16:46:30.000,2018-01-09 16:46:34.979,0.3177519738674164,6
2018-01-09 16:46:35.000,2018-01-09 16:46:39.979,0.6595237255096436,1
2018-01-09 16:46:40.000,2018-01-09 16:51:14.979,0.7085940718650818,7
2018-01-09 16:51:15.000,2018-01-09 16:51:19.979,0.507293701171875,1
2018-01-09 16:51:20.000,2018-01-09 16:51:34.979,0.3643350501855214,6
2018-01-09 16:51:35.000,2018-01-09 16:51:39.979,0.3612348139286041,5
2018-01-09 16:51:40.000,2018-01-09 16:51:44.979,0.30706024169921875,1
2018-01-09 16:51:45.000,2018-01-09 16:51:54.979,0.3632945269346237,6
2018-01-09 16:51:55.000,2018-01-09 16:52:09.979,0.4412593642870585,1
2018-01-09 16:52:10.000,2018-01-09 16:52:34.979,0.3876347839832306,6
2018-01-09 16:52:35.000,2018-01-09 16:52:39.979,0.5459926724433899,1
2018-01-09 16:52:40.000,2018-01-09 16:53:39.979,0.6316229775547981,7
2018-01-09 16:53:40.000,2018-01-09 16:53:44.979,0.3996332585811615,6
2018-01-09 16:53:45.000,2018-01-09 16:57:39.979,0.6854131881226885,7
2018-01-09 16:57:40.000,2018-01-09 16:57:44.979,0.3559037744998932,6
2018-01-09 16:57:45.000,2018-01-09 16:57:49.979,0.5559156537055969,1
2018-01-09 16:57:50.000,2018-01-09 16:58:14.979,0.3733332812786102,6
2018-01-09 16:58:15.000,2018-01-09 16:58:19.979,0.5618167519569397,1
2018-01-09 16:58:20.000,2018-01-09 16:59:34.979,0.7042872627576192,7
2018-01-09 16:59:35.000,2018-01-09 16:59:44.979,0.4877903163433075,1
2018-01-09 16:59:45.000,2018-01-09 16:59:49.979,0.5535582900047302,6
2018-01-09 16:59:50.000,2018-01-09 16:59:54.979,0.4301502704620361,1
2018-01-09 16:59:55.000,2018-01-09 16:59:59.979,0.1986946165561676,3
2018-01-09 17:00:00.000,2018-01-09 17:02:24.979,0.6958604516654179,7
2018-01-09 17:02:25.000,2018-01-09 17:02:34.979,0.4706191271543503,1
2018-01-09 17:02:35.000,2018-01-09 17:02:54.979,0.4339229390025139,6
2018-01-09 17:02:55.000,2018-01-09 17:02:59.979,0.5153593420982361,1
2018-01-09 17:03:00.000,2018-01-09 17:03:04.980,0.3781252503395081,6
2018-01-09 17:03:05.000,2018-01-09 17:03:09.979,0.3922836780548096,5
2018-01-09 17:03:10.000,2018-01-09 17:03:34.979,0.4197978675365448,6
2018-01-09 17:03:35.000,2018-01-09 17:03:39.979,0.4447474181652069,1
2018-01-09 17:03:40.000,2018-01-09 17:03:44.979,0.3317872881889343,6
2018-01-09 17:03:45.000,2018-01-09 17:03:49.979,0.5457632541656494,1
2018-01-09 17:03:50.000,2018-01-09 17:04:04.980,0.3941310445467631,6
2018-01-09 17:04:05.000,2018-01-09 17:04:09.979,0.5379800200462341,1
2018-01-09 17:04:10.000,2018-01-09 17:05:34.979,0.6822443735950133,7
2018-01-09 17:05:35.000,2018-01-09 17:05:39.979,0.3688799738883972,3
2018-01-09 17:05:40.000,2018-01-09 17:05:44.979,0.3813909590244293,1
2018-01-09 17:05:45.000,2018-01-09 17:06:09.979,0.4382928609848023,6
2018-01-09 17:06:10.000,2018-01-09 17:06:14.979,0.3604694306850433,3
2018-01-09 17:06:15.000,2018-01-09 17:06:19.979,0.3577534556388855,6
2018-01-09 17:06:20.000,2018-01-09 17:06:29.979,0.4284864813089371,1
2018-01-09 17:06:30.000,2018-01-09 17:07:19.979,0.4280936628580093,6
2018-01-09 17:07:20.000,2018-01-09 17:07:29.979,0.5157734453678131,1
2018-01-09 17:07:30.000,2018-01-09 17:07:44.979,0.4851574897766113,6
2018-01-09 17:07:45.000,2018-01-09 17:07:54.979,0.5321179628372192,1
2018-01-09 17:07:55.000,2018-01-09 17:07:59.979,0.4251146018505096,6
2018-01-09 17:08:00.000,2018-01-09 17:08:04.980,0.5266600251197815,1
2018-01-09 17:08:05.000,2018-01-09 17:08:09.979,0.336326539516449,3
2018-01-09 17:08:10.000,2018-01-09 17:08:14.979,0.5409576892852783,1
2018-01-09 17:08:15.000,2018-01-09 17:08:19.979,0.37655985355377203,6
2018-01-09 17:08:20.000,2018-01-09 17:08:24.979,0.358843207359314,5
2018-01-09 17:08:25.000,2018-01-09 17:08:44.979,0.3729611709713936,6
2018-01-09 17:08:45.000,2018-01-09 17:08:49.979,0.4535145461559296,1
2018-01-09 17:08:50.000,2018-01-09 17:09:19.979,0.3920396020015081,6
2018-01-09 17:09:20.000,2018-01-09 17:09:24.979,0.5134281516075134,1
2018-01-09 17:09:25.000,2018-01-09 17:09:44.979,0.4066283255815506,6
2018-01-09 17:09:45.000,2018-01-09 17:09:49.979,0.3967430591583252,5
2018-01-09 17:09:50.000,2018-01-09 17:09:54.979,0.5411465167999268,1
2018-01-09 17:09:55.000,2018-01-09 17:11:34.979,0.4314827933907509,6
2018-01-09 17:11:35.000,2018-01-09 17:11:39.979,0.3520691990852356,1
2018-01-09 17:11:40.000,2018-01-09 17:12:04.980,0.3873983442783356,6
2018-01-09 17:12:05.000,2018-01-09 17:12:19.979,0.4821029802163442,1
2018-01-09 17:12:20.000,2018-01-09 17:12:24.979,0.4130095839500427,5
2018-01-09 17:12:25.000,2018-01-09 17:12:34.979,0.5638593435287476,1
2018-01-09 17:12:35.000,2018-01-09 17:12:44.979,0.3687306344509125,6
2018-01-09 17:12:45.000,2018-01-09 17:12:49.979,0.6170119643211365,13
2018-01-09 17:12:50.000,2018-01-09 17:13:24.979,0.4291456299168723,6
2018-01-09 17:13:25.000,2018-01-09 17:13:34.979,0.4126394242048264,5
2018-01-09 17:13:35.000,2018-01-09 17:14:44.979,0.41638803482055664,6
2018-01-09 17:14:45.000,2018-01-09 17:14:54.979,0.4629290848970413,1
2018-01-09 17:14:55.000,2018-01-09 17:14:59.979,0.3819245398044586,6
2018-01-09 17:15:00.000,2018-01-09 17:15:29.979,0.4162901192903519,5
2018-01-09 17:15:30.000,2018-01-09 17:15:34.979,0.4225794672966003,1
2018-01-09 17:15:35.000,2018-01-09 17:15:39.979,0.42140844464302063,5
2018-01-09 17:15:40.000,2018-01-09 17:15:49.979,0.4606239944696426,1
2018-01-09 17:15:50.000,2018-01-09 17:15:54.979,0.4335125386714935,5
2018-01-09 17:15:55.000,2018-01-09 17:15:59.979,0.41468414664268494,1
2018-01-09 17:16:00.000,2018-01-09 17:16:29.979,0.4108040581146876,6
2018-01-09 17:16:30.000,2018-01-09 17:16:34.979,0.2772168219089508,3
2018-01-09 17:16:35.000,2018-01-09 17:19:59.979,0.4032034016237026,6
2018-01-09 17:20:00.000,2018-01-09 17:20:04.980,0.36182376742362976,1
2018-01-09 17:20:05.000,2018-01-09 17:20:09.979,0.3748697340488434,6
2018-01-09 17:20:10.000,2018-01-09 17:20:24.979,0.4145421584447225,5
2018-01-09 17:20:25.000,2018-01-09 17:20:49.979,0.4292740166187287,6
2018-01-09 17:20:50.000,2018-01-09 17:20:54.979,0.4798481166362762,1
2018-01-09 17:20:55.000,2018-01-09 17:20:59.979,0.4414110481739044,6
2018-01-09 17:21:00.000,2018-01-09 17:21:09.979,0.4395459145307541,5
2018-01-09 17:21:10.000,2018-01-09 17:21:14.979,0.5537734031677246,1
2018-01-09 17:21:15.000,2018-01-09 17:22:44.979,0.3577418741252687,6
2018-01-09 17:22:45.000,2018-01-09 17:22:49.979,0.33428043127059937,3
2018-01-09 17:22:50.000,2018-01-09 17:23:14.979,0.4142798542976379,6
2018-01-09 17:23:15.000,2018-01-09 17:23:19.979,0.2897855341434479,3
2018-01-09 17:23:20.000,2018-01-09 17:24:44.979,0.4109426701770109,6
2018-01-09 17:24:45.000,2018-01-09 17:24:49.979,0.5680012106895447,1
