timestart,timeend,confidence,target
2019-03-19 16:00:00.000,2019-03-19 16:00:04.980,1.0,-1
2019-03-19 16:00:05.000,2019-03-19 16:00:09.979,1.0,-1
2019-03-19 16:00:10.000,2019-03-19 16:00:14.979,1.0,-1
2019-03-19 16:00:15.000,2019-03-19 16:00:19.979,1.0,-1
2019-03-19 16:00:20.000,2019-03-19 16:00:24.979,1.0,-1
2019-03-19 16:00:25.000,2019-03-19 16:00:29.979,1.0,-1
2019-03-19 16:00:30.000,2019-03-19 16:00:34.979,1.0,-1
2019-03-19 16:00:35.000,2019-03-19 16:00:39.979,1.0,-1
2019-03-19 16:00:40.000,2019-03-19 16:00:44.979,1.0,-1
2019-03-19 16:00:45.000,2019-03-19 16:00:49.979,1.0,-1
2019-03-19 16:00:50.000,2019-03-19 16:00:54.979,1.0,-1
2019-03-19 16:00:55.000,2019-03-19 16:00:59.979,1.0,-1
2019-03-19 16:01:00.000,2019-03-19 16:01:04.980,1.0,-1
2019-03-19 16:01:05.000,2019-03-19 16:01:09.979,1.0,-1
2019-03-19 16:01:10.000,2019-03-19 16:01:14.979,1.0,-1
2019-03-19 16:01:15.000,2019-03-19 16:01:19.979,1.0,-1
2019-03-19 16:01:20.000,2019-03-19 16:01:24.979,1.0,-1
2019-03-19 16:01:25.000,2019-03-19 16:01:29.979,1.0,-1
2019-03-19 16:01:30.000,2019-03-19 16:01:34.979,1.0,-1
2019-03-19 16:01:35.000,2019-03-19 16:01:39.979,1.0,-1
2019-03-19 16:01:40.000,2019-03-19 16:01:44.979,1.0,-1
2019-03-19 16:01:45.000,2019-03-19 16:01:49.979,1.0,-1
2019-03-19 16:01:50.000,2019-03-19 16:01:54.979,1.0,-1
2019-03-19 16:01:55.000,2019-03-19 16:01:59.979,1.0,-1
2019-03-19 16:02:00.000,2019-03-19 16:02:04.980,1.0,-1
2019-03-19 16:02:05.000,2019-03-19 16:02:09.979,1.0,-1
2019-03-19 16:02:10.000,2019-03-19 16:02:14.979,1.0,-1
2019-03-19 16:02:15.000,2019-03-19 16:02:19.979,1.0,-1
2019-03-19 16:02:20.000,2019-03-19 16:02:24.979,1.0,-1
2019-03-19 16:02:25.000,2019-03-19 16:02:29.979,1.0,-1
2019-03-19 16:02:30.000,2019-03-19 16:02:34.979,1.0,-1
2019-03-19 16:02:35.000,2019-03-19 16:02:39.979,1.0,-1
2019-03-19 16:02:40.000,2019-03-19 16:02:44.979,1.0,-1
2019-03-19 16:02:45.000,2019-03-19 16:02:49.979,1.0,-1
2019-03-19 16:02:50.000,2019-03-19 16:02:54.979,1.0,-1
2019-03-19 16:02:55.000,2019-03-19 16:02:59.979,1.0,-1
2019-03-19 16:03:00.000,2019-03-19 16:03:04.980,1.0,-1
2019-03-19 16:03:05.000,2019-03-19 16:03:09.979,1.0,-1
2019-03-19 16:03:10.000,2019-03-19 16:03:14.979,1.0,-1
2019-03-19 16:03:15.000,2019-03-19 16:03:19.979,1.0,-1
2019-03-19 16:03:20.000,2019-03-19 16:03:24.979,1.0,-1
2019-03-19 16:03:25.000,2019-03-19 16:03:29.979,1.0,-1
2019-03-19 16:03:30.000,2019-03-19 16:03:34.979,1.0,-1
2019-03-19 16:03:35.000,2019-03-19 16:03:39.979,1.0,-1
2019-03-19 16:03:40.000,2019-03-19 16:03:44.979,1.0,-1
2019-03-19 16:03:45.000,2019-03-19 16:03:49.979,1.0,-1
2019-03-19 16:03:50.000,2019-03-19 16:03:54.979,1.0,-1
2019-03-19 16:03:55.000,2019-03-19 16:03:59.979,1.0,-1
2019-03-19 16:04:00.000,2019-03-19 16:04:04.980,1.0,-1
2019-03-19 16:04:05.000,2019-03-19 16:04:09.979,1.0,-1
2019-03-19 16:04:10.000,2019-03-19 16:04:14.979,1.0,-1
2019-03-19 16:04:15.000,2019-03-19 16:04:19.979,1.0,-1
2019-03-19 16:04:20.000,2019-03-19 16:04:24.979,1.0,-1
2019-03-19 16:04:25.000,2019-03-19 16:04:29.979,1.0,-1
2019-03-19 16:04:30.000,2019-03-19 16:04:34.979,1.0,-1
2019-03-19 16:04:35.000,2019-03-19 16:04:39.979,1.0,-1
2019-03-19 16:04:40.000,2019-03-19 16:04:44.979,1.0,-1
2019-03-19 16:04:45.000,2019-03-19 16:04:49.979,1.0,-1
2019-03-19 16:04:50.000,2019-03-19 16:04:54.979,1.0,-1
2019-03-19 16:04:55.000,2019-03-19 16:04:59.979,1.0,-1
2019-03-19 16:05:00.000,2019-03-19 16:05:04.980,1.0,-1
2019-03-19 16:05:05.000,2019-03-19 16:05:09.979,1.0,-1
2019-03-19 16:05:10.000,2019-03-19 16:05:14.979,1.0,-1
2019-03-19 16:05:15.000,2019-03-19 16:05:19.979,1.0,-1
2019-03-19 16:05:20.000,2019-03-19 16:05:24.979,1.0,-1
2019-03-19 16:05:25.000,2019-03-19 16:05:29.979,1.0,-1
2019-03-19 16:05:30.000,2019-03-19 16:05:34.979,1.0,-1
2019-03-19 16:05:35.000,2019-03-19 16:05:39.979,1.0,-1
2019-03-19 16:05:40.000,2019-03-19 16:05:44.979,1.0,-1
2019-03-19 16:05:45.000,2019-03-19 16:05:49.979,1.0,-1
2019-03-19 16:05:50.000,2019-03-19 16:05:54.979,1.0,-1
2019-03-19 16:05:55.000,2019-03-19 16:05:59.979,1.0,-1
2019-03-19 16:06:00.000,2019-03-19 16:06:04.980,1.0,-1
2019-03-19 16:06:05.000,2019-03-19 16:06:09.979,1.0,-1
2019-03-19 16:06:10.000,2019-03-19 16:06:14.979,1.0,-1
2019-03-19 16:06:15.000,2019-03-19 16:06:19.979,1.0,-1
2019-03-19 16:06:20.000,2019-03-19 16:06:24.979,1.0,-1
2019-03-19 16:06:25.000,2019-03-19 16:06:29.979,1.0,-1
2019-03-19 16:06:30.000,2019-03-19 16:06:34.979,1.0,-1
2019-03-19 16:06:35.000,2019-03-19 16:06:39.979,1.0,-1
2019-03-19 16:06:40.000,2019-03-19 16:06:44.979,1.0,-1
2019-03-19 16:06:45.000,2019-03-19 16:06:49.979,1.0,-1
2019-03-19 16:06:50.000,2019-03-19 16:06:54.979,1.0,-1
2019-03-19 16:06:55.000,2019-03-19 16:06:59.979,1.0,-1
2019-03-19 16:07:00.000,2019-03-19 16:07:04.980,1.0,-1
2019-03-19 16:07:05.000,2019-03-19 16:07:09.979,1.0,-1
2019-03-19 16:07:10.000,2019-03-19 16:07:14.979,1.0,-1
2019-03-19 16:07:15.000,2019-03-19 16:07:19.979,1.0,-1
2019-03-19 16:07:20.000,2019-03-19 16:07:24.979,1.0,-1
2019-03-19 16:07:25.000,2019-03-19 16:07:29.979,1.0,-1
2019-03-19 16:07:30.000,2019-03-19 16:07:34.979,1.0,-1
2019-03-19 16:07:35.000,2019-03-19 16:07:39.979,1.0,-1
2019-03-19 16:07:40.000,2019-03-19 16:07:44.979,1.0,-1
2019-03-19 16:07:45.000,2019-03-19 16:07:49.979,1.0,-1
2019-03-19 16:07:50.000,2019-03-19 16:07:54.979,1.0,-1
2019-03-19 16:07:55.000,2019-03-19 16:07:59.979,1.0,-1
2019-03-19 16:08:00.000,2019-03-19 16:08:04.980,1.0,-1
2019-03-19 16:08:05.000,2019-03-19 16:08:09.979,1.0,-1
2019-03-19 16:08:10.000,2019-03-19 16:08:14.979,1.0,-1
2019-03-19 16:08:15.000,2019-03-19 16:08:19.979,1.0,-1
2019-03-19 16:08:20.000,2019-03-19 16:08:24.979,1.0,-1
2019-03-19 16:08:25.000,2019-03-19 16:08:29.979,1.0,-1
